#  NACA 0008                                       
#  alpha =   1.0000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =   9.0000
#
#    x           cf
   0.180885E-03  0.270744E-03
   0.354679E-29  0.328686E-02
   0.180885E-03  0.546565E-02
   0.760418E-03  0.679719E-02
   0.175671E-02  0.629811E-02
   0.317873E-02  0.566014E-02
   0.505973E-02  0.463760E-02
   0.748152E-02  0.385203E-02
   0.105948E-01  0.313890E-02
   0.146448E-01  0.256666E-02
   0.199930E-01  0.209600E-02
   0.270672E-01  0.171681E-02
   0.361206E-01  0.142137E-02
   0.469502E-01  0.119973E-02
   0.590124E-01  0.103651E-02
   0.718138E-01  0.914410E-03
   0.850560E-01  0.820233E-03
   0.985801E-01  0.745153E-03
   0.112299      0.683507E-03
   0.126161      0.631657E-03
   0.140132      0.587192E-03
   0.154188      0.548498E-03
   0.168315      0.514514E-03
   0.182499      0.484701E-03
   0.196730      0.459146E-03
   0.211002      0.441318E-03
   0.225308      0.445547E-03
   0.239644      0.290093E-02
   0.254007      0.432605E-02
   0.268392      0.457320E-02
   0.282797      0.441107E-02
   0.297221      0.422664E-02
   0.311660      0.407534E-02
   0.326114      0.395357E-02
   0.340581      0.385238E-02
   0.355060      0.376511E-02
   0.369550      0.368756E-02
   0.384049      0.361713E-02
   0.398557      0.355220E-02
   0.413073      0.349168E-02
   0.427597      0.343485E-02
   0.442127      0.338117E-02
   0.456663      0.333023E-02
   0.471205      0.328173E-02
   0.485753      0.323540E-02
   0.500305      0.319100E-02
   0.514861      0.314836E-02
   0.529421      0.310730E-02
   0.543985      0.306767E-02
   0.558551      0.302935E-02
   0.573121      0.299220E-02
   0.587693      0.295610E-02
   0.602267      0.292095E-02
   0.616843      0.288664E-02
   0.631421      0.285307E-02
   0.646000      0.282014E-02
   0.660580      0.278775E-02
   0.675161      0.275581E-02
   0.689743      0.272420E-02
   0.704324      0.269282E-02
   0.718906      0.266156E-02
   0.733488      0.263030E-02
   0.748069      0.259891E-02
   0.762649      0.256724E-02
   0.777228      0.253513E-02
   0.791806      0.250240E-02
   0.806383      0.246883E-02
   0.820958      0.243417E-02
   0.835531      0.239810E-02
   0.850102      0.236026E-02
   0.864670      0.232015E-02
   0.879236      0.227716E-02
   0.893798      0.223046E-02
   0.908355      0.217890E-02
   0.922901      0.212083E-02
   0.937414      0.205378E-02
   0.951796      0.197418E-02
   0.965688      0.187722E-02
   0.978098      0.176387E-02
   0.987808      0.162940E-02
   0.994942      0.165714E-02
    1.00000      0.783764E-03
    1.00010       0.00000    
    1.00533       0.00000    
    1.01147       0.00000    
    1.01868       0.00000    
    1.02714       0.00000    
    1.03709       0.00000    
    1.04877       0.00000    
    1.06248       0.00000    
    1.07859       0.00000    
    1.09751       0.00000    
    1.11973       0.00000    
    1.14582       0.00000    
    1.17647       0.00000    
    1.21245       0.00000    
    1.25472       0.00000    
    1.30436       0.00000    
    1.36266       0.00000    
    1.43112       0.00000    
    1.51153       0.00000    
    1.60596       0.00000    
    1.71686       0.00000    
    1.84710       0.00000    
    2.00006       0.00000    

   0.760418E-03  0.228611E-02
   0.175671E-02  0.333617E-02
   0.317873E-02  0.398899E-02
   0.505973E-02  0.362702E-02
   0.748152E-02  0.347661E-02
   0.105948E-01  0.298654E-02
   0.146448E-01  0.264259E-02
   0.199930E-01  0.224886E-02
   0.270672E-01  0.192058E-02
   0.361206E-01  0.163164E-02
   0.469502E-01  0.140330E-02
   0.590124E-01  0.122704E-02
   0.718138E-01  0.109166E-02
   0.850560E-01  0.985420E-03
   0.985801E-01  0.899842E-03
   0.112299      0.829176E-03
   0.126161      0.769573E-03
   0.140132      0.718391E-03
   0.154188      0.673775E-03
   0.168315      0.634389E-03
   0.182499      0.599250E-03
   0.196730      0.567614E-03
   0.211002      0.538916E-03
   0.225308      0.512710E-03
   0.239644      0.488642E-03
   0.254007      0.466432E-03
   0.268392      0.445846E-03
   0.282797      0.426698E-03
   0.297221      0.408830E-03
   0.311660      0.392115E-03
   0.326114      0.376444E-03
   0.340581      0.361729E-03
   0.355060      0.347904E-03
   0.369550      0.334925E-03
   0.384049      0.322781E-03
   0.398557      0.311521E-03
   0.413073      0.301323E-03
   0.427597      0.292677E-03
   0.442127      0.287386E-03
   0.456663      0.292307E-03
   0.471205      0.896846E-03
   0.485753      0.260423E-02
   0.500305      0.356989E-02
   0.514861      0.378636E-02
   0.529421      0.372640E-02
   0.543985      0.361408E-02
   0.558551      0.350615E-02
   0.573121      0.341315E-02
   0.587693      0.333431E-02
   0.602267      0.326669E-02
   0.616843      0.320750E-02
   0.631421      0.315457E-02
   0.646000      0.310632E-02
   0.660580      0.306162E-02
   0.675161      0.301964E-02
   0.689743      0.297981E-02
   0.704324      0.294166E-02
   0.718906      0.290484E-02
   0.733488      0.286906E-02
   0.748069      0.283408E-02
   0.762649      0.279966E-02
   0.777228      0.276559E-02
   0.791806      0.273165E-02
   0.806383      0.269761E-02
   0.820958      0.266324E-02
   0.835531      0.262825E-02
   0.850102      0.259232E-02
   0.864670      0.255506E-02
   0.879236      0.251600E-02
   0.893798      0.247451E-02
   0.908355      0.242975E-02
   0.922901      0.238056E-02
   0.937414      0.232528E-02
   0.951796      0.226170E-02
   0.965688      0.218651E-02
   0.978098      0.210547E-02
   0.987808      0.199846E-02
   0.994942      0.223116E-02
    1.00000      0.850271E-03
    1.00010       0.00000    
    1.00533       0.00000    
    1.01147       0.00000    
    1.01868       0.00000    
    1.02714       0.00000    
    1.03709       0.00000    
    1.04877       0.00000    
    1.06248       0.00000    
    1.07859       0.00000    
    1.09751       0.00000    
    1.11973       0.00000    
    1.14582       0.00000    
    1.17647       0.00000    
    1.21245       0.00000    
    1.25472       0.00000    
    1.30436       0.00000    
    1.36266       0.00000    
    1.43112       0.00000    
    1.51153       0.00000    
    1.60596       0.00000    
    1.71686       0.00000    
    1.84710       0.00000    
    2.00006       0.00000    

